385139	16	29	90
385147	14	38	30
385148	15	32	60
386729	17	23	120
386766	16	43	90
386770	14	55	30
388079	17	25	120
389426	17	22	120
389460	14	64	30
390871	16	48	90
390873	15	57	60
392292	17	20	120
397757	17	35	120
397760	16	51	90
397813	14	75	30
398947	15	59	60
398958	14	71	30
400294	16	49	90
400296	15	61	60
401816	15	59	60
401816	16	49	90
403195	17	34	120
403210	16	52	90
403211	15	57	60
404487	17	37	120
405953	17	35	120
405980	15	66	60
406004	14	81	30
407423	15	70	60
408589	17	48	120
408642	14	99	30
409744	16	76	90
409747	15	76	60
409767	14	95	30
410890	16	76	90
410891	15	80	60
412006	17	56	120
412053	14	102	30
413214	14	124	30
414282	16	79	90
414289	15	85	60
415361	17	62	120
415395	16	90	90
416381	16	1	90
416526	16	91	90
416590	14	155	30
417656	16	101	90
417677	14	136	30
418768	16	87	90
418810	14	140	30
420023	17	1	120
420030	16	91	90
420063	14	121	30
421252	17	69	120
421280	15	98	60
422328	16	1	90
422479	16	87	90
422513	14	131	30
423653	17	1	120
424813	15	109	60
425622	17	1	120
425766	16	98	90
425793	16	1	90
427064	16	1	90
427072	15	60	60
427148	14	3	30
428357	15	57	60
428417	14	1	30
428471	14	1	30
429532	17	19	120
429622	14	97	30
430739	17	26	120
430745	16	36	90
430764	17	1	120
430776	15	60	60
430923	14	1	30
432116	16	5	90
432121	15	66	60
433311	15	1	60
433434	15	58	60
433504	14	1	30
434715	16	39	90
434715	17	22	120
434859	14	1	30
436062	17	22	120
436090	16	1	90
436099	15	64	60
436148	14	2	30
436216	14	1	30
437480	15	62	60
437571	14	1	30
438665	16	1	90
440135	14	97	30
441425	14	107	30
441469	14	4	30
441492	14	1	30
442750	16	31	90
442783	15	51	60
442829	14	83	30
444045	16	19	90
444056	15	25	60
444109	14	65	30
445369	17	4	120
445378	16	21	90
445461	14	1	30
445515	14	1	30
446833	14	49	30
448190	16	18	90
448200	15	19	60
448296	14	1	30
448326	14	1	30
449605	16	24	90
449667	14	68	30
450985	16	12	90
451029	15	18	60
451032	14	44	30
452374	16	16	90
452410	15	14	60
452476	14	3	30
453798	15	22	60
455094	16	1	90
455146	16	19	90
455199	15	23	60
455229	14	2	30
456503	16	22	90
456604	14	1	30
457933	17	1	120
458048	14	1	30
459175	17	11	120
459275	16	45	90
460428	17	8	120
460498	16	39	90
460564	14	83	30
461661	17	6	120
461779	15	64	60
461789	16	50	90
461822	14	105	30
462878	17	2	120
462941	16	1	90
462951	15	4	60
463966	16	1	90
464050	16	19	90
464095	14	82	30
464776	16	14	90
464821	14	80	30
465502	15	34	60
466163	16	21	90
466199	15	1	60
466775	17	1	120
466857	15	40	60
466866	14	80	30
467546	15	35	60
468307	17	24	120
469093	16	74	90
469115	14	121	30
474524	14	4	30
474552	14	1	30
475634	15	1	60
475763	14	3	30
476108	14	9	30
478248	14	9	30
478364	14	2	30
478446	14	1	30
479741	15	2	60
479796	14	1	30
479939	14	2	30
481633	17	1	120
481645	16	7	90
481665	15	17	60
481689	14	33	30
482095	17	1	120
482099	16	7	90
482592	14	30	30
483003	17	1	120
483014	16	5	90
483059	14	40	30
483518	14	33	30
483888	17	1	120
483933	15	17	60
483948	14	37	30
484190	17	1	120
484239	14	31	30
484574	16	3	90
484618	14	38	30
485012	16	9	90
485467	15	16	60
485943	16	6	90
485968	14	26	30
486490	16	7	90
487098	16	6	90
487124	14	41	30
487723	15	18	60
488307	17	1	120
488365	14	41	30
488952	16	1	90
489010	15	17	60
489620	16	1	90
489676	14	25	30
489677	15	14	60
489700	14	2	30
490232	14	34	30
499307	16	15	90
499330	15	24	60
499335	14	23	30
499910	16	19	90
499943	14	38	30
500443	16	15	90
500482	14	47	30
500875	17	1	120
500936	16	29	90
500983	14	57	30
501449	14	48	30
504525	15	28	60
504525	16	21	90
504965	17	1	120
505011	15	28	60
505011	14	31	30
505447	15	24	60
505447	16	18	90
505483	14	1	30
506391	15	32	60
506391	16	20	90
506396	14	24	30
512251	17	58	120
512323	14	140	30
512878	16	82	90
512907	16	2	90
513104	16	5	90
513115	15	12	60
513140	14	32	30
513402	16	7	90
513402	15	12	60
513645	16	4	90
513688	14	38	30
513944	14	26	30
514211	16	7	90
514214	15	16	60
514236	14	42	30
514510	14	37	30
514780	15	16	60
515053	16	7	90
515055	15	15	60
515333	15	15	60
515333	16	7	90
515842	16	1	90
515904	15	12	60
516171	16	6	90
516207	14	28	30
516500	14	33	30
516778	15	12	60
516790	14	34	30
517082	14	28	30
517321	16	6	90
517364	14	29	30
517568	16	1	90
517623	16	6	90
517625	15	13	60
517648	14	26	30
517908	16	7	90
517937	14	26	30
518190	16	2	90
518228	14	27	30
518512	14	25	30
518784	15	14	60
519056	16	3	90
519098	14	30	30
519357	15	14	60
519379	14	30	30
519936	16	3	90
519948	15	12	60
519973	14	34	30
520228	16	5	90
520262	14	34	30
520555	14	33	30
520810	15	12	60
520835	14	27	30
521111	15	17	60
521377	16	3	90
521677	16	4	90
521678	15	11	60
521947	16	5	90
521990	14	31	30
522526	16	3	90
522650	17	67	120
522670	16	90	90
522828	16	4	90
522865	14	1	30
523137	15	8	60
523421	16	4	90
523463	14	20	30
523721	15	8	60
523727	14	15	30
523868	17	59	120
523881	16	81	90
523882	15	82	60
524033	16	3	90
524328	16	3	90
524367	14	18	30
524647	15	9	60
524654	14	18	30
524932	15	8	60
525362	15	106	60
525516	15	8	60
525808	16	3	90
525833	14	13	30
526116	15	8	60
526391	16	3	90
526402	15	12	60
526427	14	20	30
526669	16	3	90
526704	14	18	30
526768	15	1	60
526915	16	93	90
526926	15	100	60
526951	14	131	30
526994	16	2	90
527001	15	6	60
527291	16	2	90
527293	15	4	60
527585	16	3	90
527592	15	5	60
527881	15	5	60
528303	17	64	120
528352	14	129	30
528499	14	10	30
529098	16	3	90
529105	15	4	60
529124	14	10	30
529415	14	12	30
529598	16	78	90
529599	15	84	60
529685	16	1	90
529731	14	13	30
530035	15	4	60
530325	16	3	90
530328	15	7	60
530338	14	9	30
530618	14	6	30
531012	16	100	90
531013	15	95	60
531208	16	2	90
531228	14	10	30
531500	15	3	60
531527	14	11	30
531776	16	2	90
531785	15	6	60
532039	16	1	90
532071	15	5	60
532337	16	2	90
532346	15	4	60
532365	14	9	30
532608	16	98	90
532619	15	106	60
532647	16	1	90
532670	16	1	90
532672	15	3	60
532984	16	5	90
533010	14	18	30
533283	15	5	60
533283	16	3	90
533309	14	12	30
533570	16	2	90
533596	14	12	30
533865	15	7	60
534260	17	69	120
534289	15	98	60
534464	16	5	90
534471	15	6	60
534729	16	1	90
534773	15	6	60
535061	15	4	60
535061	16	3	90
535370	15	6	60
535370	16	3	90
535646	16	3	90
535653	15	4	60
535959	14	15	30
536185	17	65	120
536214	16	85	90
536247	16	1	90
536290	14	116	30
536576	16	4	90
536584	15	10	60
536866	16	2	90
536886	15	11	60
537476	16	4	90
537488	15	9	60
537729	15	1	60
537764	16	2	90
537792	14	12	30
538072	15	8	60
538083	14	12	30
538366	16	4	90
538391	14	14	30
538658	16	1	90
538667	15	7	60
538678	14	13	30
539007	14	20	30
539260	15	6	60
539260	16	4	90
539538	16	2	90
539549	15	6	60
539840	16	4	90
539847	15	8	60
540150	16	6	90
540152	15	13	60
540175	14	28	30
540623	17	8	120
540640	16	25	90
540697	14	81	30
540914	16	21	90
540972	14	72	30
541003	14	1	30
541172	17	13	120
541193	16	28	90
541230	15	50	60
541282	14	2	30
541433	17	10	120
541441	16	22	90
541503	15	48	60
541710	17	6	120
541787	15	40	60
542009	17	8	120
542055	15	46	60
542122	14	1	30
542304	15	35	60
542564	17	11	120
542653	14	97	30
542854	15	29	60
542859	16	33	90
542920	14	74	30
543404	16	51	90
543518	14	8	30
543939	15	50	60
543941	16	40	90
544504	17	45	120
544534	14	111	30
544540	15	84	60
544543	16	3	90
545041	17	1	120
545064	16	39	90
545113	15	13	60
545179	14	1	30
545609	17	32	120
545641	15	59	60
545686	14	97	30
545716	14	3	30
545875	16	45	90
545877	17	27	120
545904	15	62	60
545905	16	1	90
545969	14	1	30
546234	15	113	60
546234	16	104	90
546452	17	65	120
546467	15	93	60
546493	14	115	30
546677	16	42	90
546733	15	70	60
546733	16	4	90
546783	14	107	30
546950	17	35	120
546963	16	52	90
547048	14	110	30
547251	17	1	120
547255	15	59	60
547309	16	56	90
