114823	14	1	200	469
117595	14	36	200	469
119999	14	41	200	469
122282	14	40	200	469
123320	14	42	200	469
125574	14	31	200	469
126624	14	41	200	469
127983	14	32	200	469
130329	14	40	200	469
132470	14	21	200	469
134622	14	28	200	469
136793	14	14	200	469
137922	14	12	200	469
140329	14	11	200	469
142792	14	11	200	469
144170	14	10	200	469
146456	14	11	200	469
147588	14	10	200	469
149955	14	10	200	469
152377	14	12	200	469
153641	14	17	200	469
155271	14	12	200	469
156304	14	16	200	469
157349	14	12	200	469
158442	14	12	200	469
159834	14	1	200	469
162780	14	34	200	469
167891	14	33	200	469
173005	14	2	200	469
174745	14	37	200	469
176111	14	43	200	469
177576	14	41	200	469
178184	14	43	200	469
179099	14	41	200	469
179453	14	39	200	469
179756	14	46	200	469
181139	14	39	200	469
181932	14	35	200	469
182098	14	39	200	469
184033	14	39	200	469
185111	14	30	200	469
185701	14	33	200	469
186271	14	30	200	469
187025	14	25	200	469
187566	14	40	200	469
189952	14	28	200	469
190564	14	41	200	469
191734	14	1	200	469
192416	14	81	200	469
193074	14	60	200	469
194425	14	131	200	469
195607	14	64	200	469
196066	14	36	200	469
196498	14	42	200	469
197958	14	139	200	469
198890	14	36	200	469
200025	14	67	200	469
200729	14	128	200	469
201396	14	137	200	469
202084	14	67	200	469
202325	14	1	200	469
203050	14	35	200	469
203473	14	62	200	469
204912	14	138	200	469
204912	14	1	200	469
206126	14	63	200	469
