TODO: Übersprechen bei unterschiedlichen Thresholds? (z.b. ab 100)


-------------------------------
TREHSHOLD = 30

78021003	1
79430005	1
82093004	1
93559003	1
94872004	1
97882003	127
98004004	1
99800004	119
99837003	1
101214004	1
101613005	118
102537003	1
103403004	125
103449004	2
103486004	3
103559004	1
103906004	1
106485004	231
108319004	214
108341003	1
108805003	1
110014005	175
112090003	217
112144005	1
114384004	246
114411004	1
116315005	253
116354005	1
118104005	191
118138002	1
118175004	1
118507003	1
120312005	200
122639004	220
122695005	2
122863003	1
124660005	222
124689002	1
126143005	1
126864005	263
126920005	1
128727003	216
128781002	3
131239003	3

------------------------------- 
THRESHOLD = 50

4817003	106
6879003	107
8939003	103
8976004	1
11045003	115
14103004	138
14129002	1
16050002	145
16082005	1
17975003	131
19961003	145
21838003	159
21859003	1
21886003	1
23743003	189
25648004	179
27532004	186

-------------------------------
THRESHOLD = 70

10907003	71
12942005	66
15002004	81
17020003	86
19321004	97
21282004	103
23248002	108
25179003	117
27130003	126
27151004	1
29159004	143
31077003	142
32972004	147

-------------------------------
TREHSHOLD = 90

5128003	62
7136005	49
7170004	1
9375003	66
11482003	65
15131003	95
17163002	97
17184003	1
19171002	88
19192003	1
21250004	107
23606003	113
23637003	1
25737003	114
25775003	1
27843002	126
29936003	135

-------------------------------
THRESHOLD = 110

2915004	36
4683003	46
6631003	49
8603004	50
10620002	77
12603002	77
14636005	78
16561003	83
16589003	1
18507003	102
20431002	94
22322005	98
24214003	95

-------------------------------
THRESHOLD = 130

7663004	46
9198002	29
10917003	41
12638004	55
14346004	57
16115002	68
17828002	71
17866004	3
19644005	81
19700004	2
21555002	73
23360002	85
25107004	91
26800002	99


